Incident_ID,City,Crime_Type,Weapon,Victim_Gender,Suspect_Gender,Arrest_Made,Date,Time
108,Chennai,Fraud,Knife,Male,Unknown,No,05-01-2018,11.00 AM
109,Bengaluru,Robbery,Other,Male,Unknown,Yes,05-01-2018,12.00 PM
110,Bengaluru,Theft,Knife,Female,Female,No,05-01-2018,1.00 PM
111,Mumbai,Theft,Other,Female,Male,No,05-01-2018,2.00 PM
112,Bengaluru,Assault,Knife,Male,Male,No,05-01-2018,3.00 PM
113,Kolkata,Assault,Gun,Female,Unknown,No,05-01-2018,4.00 PM
114,Bengaluru,Assault,Gun,Female,Male,No,05-01-2018,5.00 PM
115,Mumbai,Fraud,Other,Male,Male,Yes,05-01-2018,6.00 PM
116,Kolkata,Robbery,Gun,Male,Unknown,No,05-01-2018,7.00 PM
117,Delhi,Theft,Other,Male,Male,Yes,05-01-2018,8.00 PM
118,Bengaluru,Murder,Knife,Female,Male,Yes,05-01-2018,9.00 PM
119,Mumbai,Fraud,Gun,Male,Unknown,No,05-01-2018,10.00 PM
120,Delhi,Theft,Gun,Female,Unknown,No,05-01-2018,11.00 PM
121,Delhi,Robbery,Other,Female,Male,No,06-01-2018,12.00 AM
122,Chennai,Fraud,Other,Female,Unknown,No,06-01-2018,1.00 AM
123,Kolkata,Theft,Other,Male,Male,No,06-01-2018,2.00 AM
124,Bengaluru,Fraud,Other,Male,Male,No,06-01-2018,3.00 AM
125,Mumbai,Theft,None,Male,Male,Yes,06-01-2018,4.00 AM
126,Chennai,Theft,Other,Female,Male,Yes,06-01-2018,5.00 AM
127,Kolkata,Robbery,None,Male,Unknown,No,06-01-2018,6.00 AM
128,Chennai,Murder,Knife,Male,Unknown,No,06-01-2018,7.00 AM
129,Kolkata,Robbery,Other,Female,Female,Yes,06-01-2018,8.00 AM
130,Kolkata,Theft,None,Female,Unknown,Yes,06-01-2018,9.00 AM
131,Bengaluru,Fraud,None,Male,Female,Yes,06-01-2018,10.00 AM
132,Kolkata,Robbery,None,Male,Male,No,06-01-2018,11.00 AM
133,Chennai,Murder,Gun,Female,Unknown,Yes,06-01-2018,12.00 PM
134,Kolkata,Theft,None,Female,Male,No,06-01-2018,1.00 PM
135,Bengaluru,Robbery,Other,Female,Female,No,06-01-2018,2.00 PM
136,Bengaluru,Robbery,Other,Male,Unknown,Yes,06-01-2018,3.00 PM
137,Chennai,Robbery,Other,Male,Unknown,Yes,06-01-2018,4.00 PM
138,Delhi,Robbery,None,Female,Unknown,Yes,06-01-2018,5.00 PM
139,Delhi,Fraud,None,Male,Unknown,No,06-01-2018,6.00 PM
140,Kolkata,Murder,Gun,Male,Male,No,06-01-2018,7.00 PM
141,Mumbai,Murder,Knife,Male,Unknown,Yes,06-01-2018,8.00 PM
142,Kolkata,Theft,Gun,Female,Female,No,06-01-2018,9.00 PM
143,Chennai,Assault,Other,Male,Unknown,Yes,06-01-2018,10.00 PM
144,Chennai,Fraud,Other,Female,Female,No,06-01-2018,11.00 PM
145,Chennai,Theft,Other,Male,Female,Yes,07-01-2018,12.00 AM
146,Chennai,Theft,Gun,Female,Male,No,07-01-2018,1.00 AM
147,Chennai,Robbery,Other,Female,Unknown,Yes,07-01-2018,2.00 AM
148,Bengaluru,Assault,Other,Male,Female,No,07-01-2018,3.00 AM
149,Delhi,Assault,Other,Male,Unknown,No,07-01-2018,4.00 AM
150,Chennai,Fraud,None,Female,Male,No,07-01-2018,5.00 AM
151,Mumbai,Assault,Knife,Female,Male,Yes,07-01-2018,6.00 AM
152,Mumbai,Theft,None,Male,Unknown,No,07-01-2018,7.00 AM
153,Mumbai,Assault,None,Female,Female,No,07-01-2018,8.00 AM
154,Mumbai,Assault,Knife,Female,Male,Yes,07-01-2018,9.00 AM
155,Bengaluru,Murder,Knife,Male,Female,Yes,07-01-2018,10.00 AM
156,Mumbai,Theft,Gun,Male,Female,No,07-01-2018,11.00 AM
157,Chennai,Assault,Knife,Male,Unknown,No,07-01-2018,12.00 PM
158,Kolkata,Assault,Gun,Male,Male,Yes,07-01-2018,1.00 PM
159,Mumbai,Robbery,Gun,Female,Unknown,No,07-01-2018,2.00 PM
160,Bengaluru,Assault,None,Male,Unknown,No,07-01-2018,3.00 PM
161,Bengaluru,Assault,Other,Male,Unknown,Yes,07-01-2018,4.00 PM
162,Mumbai,Murder,None,Male,Female,Yes,07-01-2018,5.00 PM
163,Kolkata,Theft,None,Male,Unknown,Yes,07-01-2018,6.00 PM
164,Mumbai,Fraud,Knife,Female,Male,No,07-01-2018,7.00 PM
165,Bengaluru,Theft,Knife,Female,Female,No,07-01-2018,8.00 PM
166,Delhi,Robbery,Gun,Male,Unknown,Yes,07-01-2018,9.00 PM
167,Chennai,Theft,Gun,Male,Male,Yes,07-01-2018,10.00 PM
168,Bengaluru,Assault,Gun,Male,Unknown,No,07-01-2018,11.00 PM
169,Mumbai,Robbery,Knife,Male,Unknown,Yes,08-01-2018,12.00 AM
170,Chennai,Theft,Gun,Female,Unknown,No,08-01-2018,1.00 AM
171,Mumbai,Robbery,Gun,Female,Female,Yes,08-01-2018,2.00 AM
172,Mumbai,Fraud,Knife,Female,Unknown,Yes,08-01-2018,3.00 AM
173,Delhi,Theft,Other,Female,Male,No,08-01-2018,4.00 AM
174,Chennai,Assault,None,Male,Unknown,No,08-01-2018,5.00 AM
175,Chennai,Robbery,Knife,Female,Unknown,Yes,08-01-2018,6.00 AM
176,Delhi,Murder,Gun,Female,Female,No,08-01-2018,7.00 AM
177,Bengaluru,Robbery,None,Male,Unknown,No,08-01-2018,8.00 AM
178,Mumbai,Murder,Knife,Female,Male,Yes,08-01-2018,9.00 AM
179,Kolkata,Assault,None,Female,Male,No,08-01-2018,10.00 AM
180,Mumbai,Fraud,None,Female,Unknown,No,08-01-2018,11.00 AM
181,Mumbai,Murder,Other,Male,Male,No,08-01-2018,12.00 PM
182,Bengaluru,Fraud,Gun,Male,Male,No,08-01-2018,1.00 PM
183,Mumbai,Robbery,Knife,Male,Unknown,Yes,08-01-2018,2.00 PM
184,Delhi,Assault,Gun,Male,Male,Yes,08-01-2018,3.00 PM
185,Delhi,Murder,Other,Female,Male,Yes,08-01-2018,4.00 PM
186,Chennai,Robbery,Other,Female,Unknown,Yes,08-01-2018,5.00 PM
187,Kolkata,Theft,Knife,Male,Female,Yes,08-01-2018,6.00 PM
188,Mumbai,Robbery,Knife,Male,Female,No,08-01-2018,7.00 PM
189,Mumbai,Fraud,Other,Male,Unknown,No,08-01-2018,8.00 PM
190,Bengaluru,Assault,Knife,Female,Female,No,08-01-2018,9.00 PM
191,Delhi,Assault,None,Female,Female,Yes,08-01-2018,10.00 PM
192,Kolkata,Robbery,None,Male,Female,Yes,08-01-2018,11.00 PM
193,Chennai,Theft,Other,Male,Female,Yes,09-01-2018,12.00 AM
194,Delhi,Fraud,Gun,Male,Unknown,No,09-01-2018,1.00 AM
195,Chennai,Robbery,Knife,Male,Female,No,09-01-2018,2.00 AM
196,Bengaluru,Robbery,Knife,Male,Female,No,09-01-2018,3.00 AM
197,Bengaluru,Assault,None,Male,Unknown,Yes,09-01-2018,4.00 AM
198,Mumbai,Fraud,Knife,Male,Unknown,Yes,09-01-2018,5.00 AM
199,Kolkata,Theft,Gun,Male,Female,No,09-01-2018,6.00 AM
200,Chennai,Assault,Knife,Female,Male,No,09-01-2018,7.00 AM
201,Delhi,Robbery,Knife,Male,Unknown,No,09-01-2018,8.00 AM
202,Bengaluru,Assault,None,Female,Unknown,Yes,09-01-2018,9.00 AM
203,Mumbai,Assault,Knife,Male,Female,Yes,09-01-2018,10.00 AM
204,Mumbai,Murder,Other,Female,Male,No,09-01-2018,11.00 AM
205,Chennai,Assault,Other,Male,Unknown,No,09-01-2018,12.00 PM
206,Bengaluru,Assault,Gun,Male,Unknown,Yes,09-01-2018,1.00 PM
207,Kolkata,Fraud,Gun,Female,Unknown,No,09-01-2018,2.00 PM
208,Bengaluru,Assault,Gun,Male,Male,No,09-01-2018,3.00 PM
209,Chennai,Theft,Gun,Female,Unknown,Yes,09-01-2018,4.00 PM
210,Chennai,Robbery,None,Female,Unknown,No,09-01-2018,5.00 PM
211,Bengaluru,Fraud,Knife,Female,Male,No,09-01-2018,6.00 PM
212,Chennai,Assault,None,Male,Unknown,No,09-01-2018,7.00 PM
213,Bengaluru,Theft,Gun,Female,Male,Yes,09-01-2018,8.00 PM
214,Delhi,Robbery,Knife,Male,Male,No,09-01-2018,9.00 PM
215,Bengaluru,Fraud,Other,Female,Male,No,09-01-2018,10.00 PM
216,Bengaluru,Theft,None,Male,Female,Yes,09-01-2018,11.00 PM
217,Chennai,Assault,Knife,Female,Unknown,No,10-01-2018,12.00 AM
218,Chennai,Murder,Other,Female,Unknown,No,10-01-2018,1.00 AM
219,Mumbai,Murder,Other,Male,Unknown,Yes,10-01-2018,2.00 AM
220,Mumbai,Fraud,Gun,Male,Male,No,10-01-2018,3.00 AM
221,Delhi,Theft,Other,Male,Female,No,10-01-2018,4.00 AM
222,Mumbai,Robbery,Other,Male,Male,No,10-01-2018,5.00 AM
223,Bengaluru,Theft,Gun,Male,Unknown,Yes,10-01-2018,6.00 AM
224,Chennai,Murder,Knife,Male,Male,No,10-01-2018,7.00 AM
225,Mumbai,Fraud,Knife,Male,Female,Yes,10-01-2018,8.00 AM
226,Mumbai,Assault,Gun,Male,Unknown,Yes,10-01-2018,9.00 AM
227,Delhi,Theft,None,Male,Male,Yes,10-01-2018,10.00 AM
228,Delhi,Murder,Gun,Female,Female,Yes,10-01-2018,11.00 AM
229,Bengaluru,Robbery,Knife,Female,Male,Yes,10-01-2018,12.00 PM
230,Chennai,Fraud,None,Female,Male,Yes,10-01-2018,1.00 PM
231,Delhi,Assault,Gun,Female,Unknown,Yes,10-01-2018,2.00 PM
232,Mumbai,Theft,Knife,Male,Female,No,10-01-2018,3.00 PM
233,Chennai,Robbery,Knife,Female,Male,No,10-01-2018,4.00 PM
234,Chennai,Assault,Knife,Female,Female,Yes,10-01-2018,5.00 PM
235,Mumbai,Murder,Other,Female,Unknown,No,10-01-2018,6.00 PM
236,Delhi,Murder,Other,Male,Unknown,No,10-01-2018,7.00 PM
237,Mumbai,Robbery,None,Male,Unknown,No,10-01-2018,8.00 PM
238,Chennai,Murder,None,Female,Female,Yes,10-01-2018,9.00 PM
239,Kolkata,Fraud,None,Female,Female,No,10-01-2018,10.00 PM
240,Kolkata,Robbery,Other,Female,Male,Yes,10-01-2018,11.00 PM
241,Bengaluru,Murder,None,Male,Female,Yes,11-01-2018,12.00 AM
242,Mumbai,Theft,Knife,Female,Unknown,No,11-01-2018,1.00 AM
243,Mumbai,Murder,Knife,Female,Male,Yes,11-01-2018,2.00 AM
244,Bengaluru,Fraud,None,Male,Female,Yes,11-01-2018,3.00 AM
245,Bengaluru,Assault,None,Female,Unknown,Yes,11-01-2018,4.00 AM
246,Bengaluru,Assault,Other,Female,Unknown,No,11-01-2018,5.00 AM
247,Chennai,Murder,Knife,Female,Male,No,11-01-2018,6.00 AM
248,Mumbai,Assault,Gun,Female,Unknown,No,11-01-2018,7.00 AM
249,Chennai,Murder,Gun,Female,Female,Yes,11-01-2018,8.00 AM
250,Bengaluru,Fraud,Other,Female,Unknown,No,11-01-2018,9.00 AM
251,Mumbai,Assault,Other,Female,Male,No,11-01-2018,10.00 AM
252,Chennai,Theft,Other,Female,Unknown,No,11-01-2018,11.00 AM
253,Chennai,Murder,Knife,Male,Unknown,Yes,11-01-2018,12.00 PM
254,Bengaluru,Assault,None,Female,Female,Yes,11-01-2018,1.00 PM
255,Mumbai,Fraud,None,Female,Female,No,11-01-2018,2.00 PM
256,Bengaluru,Fraud,Other,Female,Female,Yes,11-01-2018,3.00 PM
257,Mumbai,Theft,Knife,Male,Female,No,11-01-2018,4.00 PM
258,Kolkata,Fraud,Gun,Female,Unknown,No,11-01-2018,5.00 PM
259,Delhi,Fraud,Other,Male,Female,Yes,11-01-2018,6.00 PM
260,Delhi,Assault,Knife,Female,Unknown,Yes,11-01-2018,7.00 PM
261,Delhi,Murder,Other,Male,Female,Yes,11-01-2018,8.00 PM
262,Bengaluru,Robbery,Knife,Male,Female,Yes,11-01-2018,9.00 PM
263,Kolkata,Fraud,Knife,Male,Female,Yes,11-01-2018,10.00 PM
264,Mumbai,Fraud,Other,Female,Unknown,Yes,11-01-2018,11.00 PM
265,Chennai,Robbery,None,Female,Female,No,12-01-2018,12.00 AM
266,Mumbai,Fraud,Other,Male,Unknown,No,12-01-2018,1.00 AM
267,Chennai,Assault,None,Female,Female,Yes,12-01-2018,2.00 AM
268,Mumbai,Assault,None,Male,Female,Yes,12-01-2018,3.00 AM
269,Kolkata,Robbery,Gun,Female,Male,No,12-01-2018,4.00 AM
270,Chennai,Fraud,Knife,Female,Female,No,12-01-2018,5.00 AM
271,Bengaluru,Fraud,Other,Male,Unknown,Yes,12-01-2018,6.00 AM
272,Mumbai,Murder,Knife,Male,Male,Yes,12-01-2018,7.00 AM
273,Mumbai,Fraud,Gun,Female,Unknown,No,12-01-2018,8.00 AM
274,Chennai,Assault,None,Male,Unknown,No,12-01-2018,9.00 AM
275,Bengaluru,Theft,Other,Male,Male,No,12-01-2018,10.00 AM
276,Bengaluru,Theft,Knife,Female,Female,No,12-01-2018,11.00 AM
277,Kolkata,Theft,Gun,Male,Male,No,12-01-2018,12.00 PM
278,Bengaluru,Theft,None,Female,Unknown,Yes,12-01-2018,1.00 PM
279,Bengaluru,Fraud,None,Female,Female,No,12-01-2018,2.00 PM
280,Bengaluru,Fraud,Knife,Male,Male,Yes,12-01-2018,3.00 PM
281,Delhi,Murder,None,Male,Unknown,No,12-01-2018,4.00 PM
282,Kolkata,Fraud,Gun,Male,Female,Yes,12-01-2018,5.00 PM
283,Mumbai,Theft,None,Female,Unknown,No,12-01-2018,6.00 PM
284,Chennai,Robbery,Other,Male,Female,Yes,12-01-2018,7.00 PM
285,Mumbai,Robbery,Other,Female,Female,No,12-01-2018,8.00 PM
286,Kolkata,Assault,Knife,Male,Male,Yes,12-01-2018,9.00 PM
287,Chennai,Assault,Gun,Male,Female,No,12-01-2018,10.00 PM
288,Kolkata,Fraud,None,Female,Unknown,Yes,12-01-2018,11.00 PM
289,Bengaluru,Robbery,None,Male,Female,Yes,13-01-2018,12.00 AM
290,Chennai,Theft,None,Male,Unknown,Yes,13-01-2018,1.00 AM
291,Bengaluru,Theft,Other,Female,Female,Yes,13-01-2018,2.00 AM
292,Mumbai,Theft,Gun,Male,Female,No,13-01-2018,3.00 AM
293,Mumbai,Fraud,None,Male,Male,No,13-01-2018,4.00 AM
294,Chennai,Fraud,Knife,Female,Female,Yes,13-01-2018,5.00 AM
295,Chennai,Murder,Gun,Male,Female,No,13-01-2018,6.00 AM
296,Kolkata,Theft,Gun,Male,Unknown,Yes,13-01-2018,7.00 AM
297,Kolkata,Theft,None,Female,Unknown,No,13-01-2018,8.00 AM
298,Bengaluru,Fraud,Other,Male,Unknown,No,13-01-2018,9.00 AM
299,Chennai,Fraud,Gun,Male,Female,Yes,13-01-2018,10.00 AM
300,Mumbai,Murder,Knife,Male,Unknown,No,13-01-2018,11.00 AM
301,Kolkata,Murder,Gun,Female,Unknown,Yes,13-01-2018,12.00 PM
302,Kolkata,Assault,Other,Male,Female,No,13-01-2018,1.00 PM
303,Mumbai,Robbery,Knife,Female,Unknown,No,13-01-2018,2.00 PM
304,Kolkata,Theft,Other,Male,Male,No,13-01-2018,3.00 PM
305,Bengaluru,Theft,None,Male,Male,Yes,13-01-2018,4.00 PM
306,Chennai,Murder,Gun,Male,Unknown,No,13-01-2018,5.00 PM
307,Mumbai,Murder,Knife,Male,Unknown,Yes,13-01-2018,6.00 PM
308,Chennai,Assault,Other,Male,Unknown,Yes,13-01-2018,7.00 PM
309,Kolkata,Robbery,None,Male,Female,No,13-01-2018,8.00 PM
310,Kolkata,Assault,Knife,Male,Male,Yes,13-01-2018,9.00 PM
311,Mumbai,Robbery,Gun,Male,Male,No,13-01-2018,10.00 PM
312,Bengaluru,Theft,Gun,Male,Unknown,Yes,13-01-2018,11.00 PM
313,Delhi,Assault,Other,Female,Unknown,No,14-01-2018,12.00 AM
314,Mumbai,Murder,Knife,Male,Female,Yes,14-01-2018,1.00 AM
315,Delhi,Assault,None,Female,Female,Yes,14-01-2018,2.00 AM
316,Delhi,Assault,None,Female,Male,Yes,14-01-2018,3.00 AM
317,Bengaluru,Theft,None,Male,Female,Yes,14-01-2018,4.00 AM
318,Delhi,Murder,Other,Female,Male,No,14-01-2018,5.00 AM
319,Delhi,Murder,None,Female,Unknown,No,14-01-2018,6.00 AM
320,Bengaluru,Fraud,Knife,Female,Unknown,Yes,14-01-2018,7.00 AM
321,Delhi,Fraud,Other,Female,Male,Yes,14-01-2018,8.00 AM
322,Delhi,Fraud,Gun,Male,Unknown,Yes,14-01-2018,9.00 AM
323,Delhi,Theft,Other,Female,Female,Yes,14-01-2018,10.00 AM
324,Mumbai,Assault,Other,Male,Unknown,No,14-01-2018,11.00 AM
325,Mumbai,Murder,Other,Female,Unknown,No,14-01-2018,12.00 PM
326,Mumbai,Murder,Knife,Female,Male,No,14-01-2018,1.00 PM
327,Bengaluru,Assault,Gun,Female,Female,Yes,14-01-2018,2.00 PM
328,Kolkata,Murder,Gun,Male,Female,No,14-01-2018,3.00 PM
329,Delhi,Assault,Other,Male,Unknown,No,14-01-2018,4.00 PM
330,Delhi,Theft,Other,Male,Unknown,Yes,14-01-2018,5.00 PM
331,Bengaluru,Theft,Other,Male,Female,No,14-01-2018,6.00 PM
332,Delhi,Theft,Knife,Female,Female,Yes,14-01-2018,7.00 PM
333,Mumbai,Assault,Knife,Male,Male,Yes,14-01-2018,8.00 PM
334,Kolkata,Assault,None,Female,Unknown,Yes,14-01-2018,9.00 PM
335,Chennai,Robbery,Gun,Male,Unknown,Yes,14-01-2018,10.00 PM
336,Delhi,Murder,None,Female,Female,Yes,14-01-2018,11.00 PM
337,Mumbai,Murder,None,Female,Male,Yes,15-01-2018,12.00 AM
338,Chennai,Robbery,Other,Male,Female,Yes,15-01-2018,1.00 AM
339,Kolkata,Robbery,Knife,Female,Unknown,No,15-01-2018,2.00 AM
340,Chennai,Theft,None,Female,Unknown,No,15-01-2018,3.00 AM
341,Mumbai,Robbery,None,Female,Unknown,Yes,15-01-2018,4.00 AM
342,Chennai,Assault,None,Female,Unknown,No,15-01-2018,5.00 AM
343,Bengaluru,Fraud,Other,Female,Male,No,15-01-2018,6.00 AM
344,Chennai,Assault,Other,Male,Unknown,No,15-01-2018,7.00 AM
345,Delhi,Robbery,Knife,Male,Female,Yes,15-01-2018,8.00 AM
346,Delhi,Murder,None,Female,Male,No,15-01-2018,9.00 AM
347,Bengaluru,Assault,None,Female,Male,Yes,15-01-2018,10.00 AM
348,Mumbai,Murder,Knife,Male,Unknown,Yes,15-01-2018,11.00 AM
349,Delhi,Assault,Knife,Male,Male,Yes,15-01-2018,12.00 PM
350,Kolkata,Murder,Knife,Male,Unknown,Yes,15-01-2018,1.00 PM
351,Delhi,Assault,Gun,Female,Male,Yes,15-01-2018,2.00 PM
352,Delhi,Murder,Knife,Female,Male,Yes,15-01-2018,3.00 PM
353,Mumbai,Fraud,Other,Male,Female,Yes,15-01-2018,4.00 PM
354,Chennai,Theft,Gun,Male,Female,No,15-01-2018,5.00 PM
